species,perc_firing,num_bins
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,4
calan,0.7,3
calan,0.75,3
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,6
calan,0.55,5
calan,0.6,5
calan,0.65,4
calan,0.7,4
calan,0.75,4
calan,0.8,4
calan,0.85,4
calan,0.9,3
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,4
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,5
calan,0.55,5
calan,0.6,5
calan,0.65,3
calan,0.7,3
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,6
calan,0.55,5
calan,0.6,4
calan,0.65,4
calan,0.7,4
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,3
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,2
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,4
calan,0.6,3
calan,0.65,2
calan,0.7,2
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,3
calan,0.55,3
calan,0.6,2
calan,0.65,2
calan,0.7,2
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,4
calan,0.55,3
calan,0.6,3
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,6
calan,0.65,5
calan,0.7,5
calan,0.75,5
calan,0.8,5
calan,0.85,2
calan,0.9,2
calan,0.95,1
calan,0.5,7
calan,0.55,7
calan,0.6,7
calan,0.65,6
calan,0.7,6
calan,0.75,6
calan,0.8,5
calan,0.85,4
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,2
calan,0.7,2
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,5
calan,0.6,4
calan,0.65,4
calan,0.7,4
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,6
calan,0.55,6
calan,0.6,6
calan,0.65,6
calan,0.7,5
calan,0.75,5
calan,0.8,4
calan,0.85,3
calan,0.9,2
calan,0.95,2
calan,0.5,2
calan,0.55,2
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,5
calan,0.6,5
calan,0.65,4
calan,0.7,4
calan,0.75,2
calan,0.8,2
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,3
calan,0.55,3
calan,0.6,3
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,3
calan,0.9,3
calan,0.95,3
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,5
calan,0.55,5
calan,0.6,4
calan,0.65,4
calan,0.7,3
calan,0.75,2
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,3
calan,0.55,3
calan,0.6,3
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,4
calan,0.55,2
calan,0.6,2
calan,0.65,2
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,3
calan,0.55,3
calan,0.6,3
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,3
calan,0.9,3
calan,0.95,2
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,3
calan,0.55,3
calan,0.6,3
calan,0.65,3
calan,0.7,2
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,2
calan,0.7,2
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,3
calan,0.65,2
calan,0.7,2
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,4
calan,0.7,4
calan,0.75,4
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,2
calan,0.55,2
calan,0.6,2
calan,0.65,2
calan,0.7,2
calan,0.75,2
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,5
calan,0.65,5
calan,0.7,5
calan,0.75,3
calan,0.8,2
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,6
calan,0.55,5
calan,0.6,4
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,7
calan,0.55,7
calan,0.6,6
calan,0.65,5
calan,0.7,5
calan,0.75,4
calan,0.8,3
calan,0.85,3
calan,0.9,2
calan,0.95,2
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,6
calan,0.55,6
calan,0.6,6
calan,0.65,5
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,1
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,5
calan,0.6,4
calan,0.65,4
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,3
calan,0.9,2
calan,0.95,1
calan,0.5,1
calan,0.55,1
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,3
calan,0.7,2
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,5
calan,0.6,5
calan,0.65,2
calan,0.7,2
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,2
calan,0.55,2
calan,0.6,2
calan,0.65,2
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,4
calan,0.6,4
calan,0.65,4
calan,0.7,4
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,2
calan,0.7,2
calan,0.75,2
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,5
calan,0.6,5
calan,0.65,5
calan,0.7,5
calan,0.75,4
calan,0.8,4
calan,0.85,4
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,3
calan,0.55,3
calan,0.6,3
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,6
calan,0.55,5
calan,0.6,5
calan,0.65,4
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,6
calan,0.55,5
calan,0.6,5
calan,0.65,4
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,2
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,5
calan,0.65,4
calan,0.7,4
calan,0.75,4
calan,0.8,4
calan,0.85,3
calan,0.9,3
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,5
calan,0.55,5
calan,0.6,4
calan,0.65,4
calan,0.7,4
calan,0.75,4
calan,0.8,2
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,6
calan,0.65,6
calan,0.7,6
calan,0.75,6
calan,0.8,6
calan,0.85,3
calan,0.9,3
calan,0.95,3
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,4
calan,0.55,4
calan,0.6,4
calan,0.65,3
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,7
calan,0.55,7
calan,0.6,7
calan,0.65,4
calan,0.7,4
calan,0.75,3
calan,0.8,2
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,5
calan,0.6,5
calan,0.65,5
calan,0.7,5
calan,0.75,5
calan,0.8,5
calan,0.85,4
calan,0.9,4
calan,0.95,3
calan,0.5,4
calan,0.55,2
calan,0.6,1
calan,0.65,1
calan,0.7,1
calan,0.75,1
calan,0.8,1
calan,0.85,1
calan,0.9,1
calan,0.95,1
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
calan,0.5,6
calan,0.55,6
calan,0.6,5
calan,0.65,4
calan,0.7,4
calan,0.75,2
calan,0.8,2
calan,0.85,2
calan,0.9,1
calan,0.95,1
calan,0.5,5
calan,0.55,4
calan,0.6,4
calan,0.65,4
calan,0.7,3
calan,0.75,3
calan,0.8,3
calan,0.85,3
calan,0.9,3
calan,0.95,2
calan,0.5,NA
calan,0.55,NA
calan,0.6,NA
calan,0.65,NA
calan,0.7,NA
calan,0.75,NA
calan,0.8,NA
calan,0.85,NA
calan,0.9,NA
calan,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,3
zf,0.55,3
zf,0.6,3
zf,0.65,3
zf,0.7,2
zf,0.75,2
zf,0.8,2
zf,0.85,1
zf,0.9,1
zf,0.95,1
zf,0.5,9
zf,0.55,9
zf,0.6,8
zf,0.65,8
zf,0.7,8
zf,0.75,7
zf,0.8,7
zf,0.85,5
zf,0.9,3
zf,0.95,2
zf,0.5,8
zf,0.55,8
zf,0.6,8
zf,0.65,8
zf,0.7,8
zf,0.75,7
zf,0.8,4
zf,0.85,4
zf,0.9,3
zf,0.95,2
zf,0.5,2
zf,0.55,2
zf,0.6,2
zf,0.65,2
zf,0.7,1
zf,0.75,1
zf,0.8,1
zf,0.85,1
zf,0.9,1
zf,0.95,1
zf,0.5,4
zf,0.55,3
zf,0.6,3
zf,0.65,3
zf,0.7,2
zf,0.75,2
zf,0.8,2
zf,0.85,2
zf,0.9,1
zf,0.95,1
zf,0.5,8
zf,0.55,8
zf,0.6,8
zf,0.65,7
zf,0.7,7
zf,0.75,7
zf,0.8,7
zf,0.85,5
zf,0.9,2
zf,0.95,2
zf,0.5,9
zf,0.55,9
zf,0.6,9
zf,0.65,9
zf,0.7,7
zf,0.75,4
zf,0.8,3
zf,0.85,3
zf,0.9,1
zf,0.95,1
zf,0.5,9
zf,0.55,8
zf,0.6,8
zf,0.65,7
zf,0.7,7
zf,0.75,5
zf,0.8,5
zf,0.85,4
zf,0.9,4
zf,0.95,2
zf,0.5,9
zf,0.55,8
zf,0.6,8
zf,0.65,8
zf,0.7,7
zf,0.75,5
zf,0.8,5
zf,0.85,4
zf,0.9,4
zf,0.95,2
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,NA
zf,0.55,NA
zf,0.6,NA
zf,0.65,NA
zf,0.7,NA
zf,0.75,NA
zf,0.8,NA
zf,0.85,NA
zf,0.9,NA
zf,0.95,NA
zf,0.5,9
zf,0.55,7
zf,0.6,7
zf,0.65,7
zf,0.7,7
zf,0.75,7
zf,0.8,4
zf,0.85,4
