trial,direction,speed,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
1,180,0.8205298485235197,3.9954,3.9954,0,7.9908,0,11.986,15.982,0,11.986,0,3.9954,15.982,19.977,3.9954,3.9954,0,11.986,19.977,11.986,11.986
2,NaN,NaN,12,4.0001,0,0,0,0,20.001,20.001,8.0002,4.0001,0,0,4.0001,12,0,4.0001,4.0001,8.0002,0,4.0001
3,0,1.3044905277734875,32.001,60.001,36.001,32.001,12,24,40.001,24,20,32.001,8.0001,20,24,32.001,16,28,24,16,8.0001,8.0001
4,NaN,NaN,4.0001,0,4.0001,0,12,0,0,0,4.0001,0,0,0,0,4.0001,4.0001,0,4.0001,0,8.0003,12
5,180,1.7729301728808387,4.0001,0,0,0,0,0,0,4.0001,4.0001,8.0002,4.0001,0,0,8.0002,8.0002,8.0002,12,0,0,0
6,NaN,NaN,0,8.0003,4.0001,4.0001,8.0003,4.0001,4.0001,4.0001,0,0,12,8.0003,4.0001,4.0001,4.0001,8.0003,4.0001,0,0,0
7,0,0.21431389742439963,12,36.001,28.001,12,16,16,16,4.0001,8.0002,40.001,20,8.0002,8.0002,12,4.0001,4.0001,12,8.0002,12,20
8,NaN,NaN,0,0,8.0002,0,0,4.0001,4.0001,0,12,8.0002,4.0001,12,0,0,0,0,0,4.0001,0,0
9,180,1.6254153521544081,3.9945,0,0,0,0,11.984,7.9891,7.9891,11.984,3.9945,0,0,0,3.9945,0,0,0,3.9945,3.9945,0
10,NaN,NaN,0,0,0,12,0,12,8.0002,12,0,0,4.0001,8.0002,0,4.0001,8.0002,4.0001,0,0,20.001,0
11,180,-0.08671609823958155,0,4.0001,8.0002,0,0,0,0,0,0,4.0001,0,4.0001,0,4.0001,0,0,0,0,0,12
12,NaN,NaN,8.0002,8.0002,4.0001,0,4.0001,0,0,0,12,0,0,0,0,0,0,4.0001,0,0,8.0002,20
13,180,1.8997110945711444,8.0002,0,0,0,0,0,0,4.0001,8.0002,0,4.0001,4.0001,4.0001,0,0,16,8.0002,8.0002,4.0001,0
14,NaN,NaN,0,4.0001,0,0,12,0,0,0,12,0,0,8.0002,4.0001,0,0,0,4.0001,12,12,0
15,0,1.6254153521544081,48,28,12,40,32,28,24,20,24,32,36,16,8.0001,20,16,16,12,24,16,8.0001
16,NaN,NaN,0,4.0002,0,0,0,16.001,0,0,8.0004,0,0,0,4.0002,20.001,4.0002,8.0004,0,4.0002,0,0
17,180,0.21431389742439963,12,0,0,0,0,8.0002,0,0,0,0,4.0001,12,8.0002,12,4.0001,4.0001,0,0,0,4.0001
18,NaN,NaN,0,4.0001,4.0001,0,4.0001,0,8.0002,8.0002,0,4.0001,4.0001,0,0,0,4.0001,0,0,0,4.0001,8.0002
19,0,0.5236164190543707,4.0001,60.001,36.001,36.001,28.001,32.001,36.001,28.001,40.001,28.001,8.0002,16,28.001,12,12,12,20,12,8.0002,16
20,NaN,NaN,16,12,0,4,0,4,16,4,4,4,0,4,4,4,0,4,0,4,0,8
21,0,1.4348242962684938,32.002,40.002,36.002,28.002,20.001,24.001,32.002,32.002,20.001,16.001,4.0002,12.001,24.001,16.001,20.001,16.001,28.002,16.001,0,8.0004
22,NaN,NaN,0,4.0001,8.0002,12,4.0001,4.0001,4.0001,0,0,0,0,4.0001,0,4.0001,8.0002,0,8.0002,4.0001,0,0
23,0,1.1256764103823331,28.001,36.001,36.001,32.001,44.001,32.001,8.0002,8.0002,0,8.0002,20,12,20,24,16,16,16,24,36.001,24
24,NaN,NaN,0,4.0001,12,4.0001,0,0,0,4.0001,4.0001,4.0001,0,0,0,4.0001,0,0,12,8.0002,4.0001,0
25,0,-0.08671609823958155,12,8.0002,4.0001,0,0,0,0,12,8.0002,8.0002,4.0001,8.0002,8.0002,0,0,4.0001,0,4.0001,4.0001,4.0001
26,NaN,NaN,0,0,0,0,0,0,0,0,4.0001,4.0001,0,12,12,0,0,0,4.0001,16,0,4.0001
27,180,1.4348242962684938,3.9997,0,0,3.9997,0,7.9995,0,0,3.9997,15.999,0,0,0,15.999,0,0,0,0,0,3.9997
28,NaN,NaN,12.001,0,4.0005,0,0,8.0009,0,12.001,4.0005,12.001,0,4.0005,4.0005,0,0,0,4.0005,0,8.0009,0
29,180,1.1256764103823331,12,4,8.0001,4,4,0,0,0,0,4,4,12,4,8.0001,8.0001,4,4,0,4,0
30,NaN,NaN,0,12,12,0,4.0002,12,0,4.0002,0,0,4.0002,0,0,8.0003,8.0003,20.001,0,8.0003,8.0003,4.0002
31,0,0.8205298485235197,12,28.001,44.001,32.001,24.001,32.001,20.001,28.001,28.001,32.001,24.001,32.001,16,16,24.001,28.001,16,20.001,28.001,20.001
32,NaN,NaN,4.0001,8.0001,16,4.0001,0,0,0,4.0001,0,0,8.0001,0,4.0001,0,4.0001,0,0,0,0,12
33,0,-0.6955094722265123,7.9996,7.9996,0,0,0,0,0,7.9996,0,3.9998,0,7.9996,11.999,11.999,0,0,3.9998,0,0,0
34,NaN,NaN,4.0004,8.0008,8.0008,4.0004,4.0004,0,0,0,4.0004,8.0008,0,8.0008,8.0008,12.001,12.001,0,0,0,0,0
35,0,1.8997110945711444,40.001,60.001,40.001,28,40.001,28,16,16,16,32,20,4.0001,16,12,28,12,20,12,12,8.0001
36,NaN,NaN,0,0,0,0,4.0001,0,8.0002,4.0001,4.0001,4.0001,0,8.0002,4.0001,8.0002,12,0,0,4.0001,0,4.0001
37,180,-0.4013189010928366,0,4.0001,4.0001,0,0,0,0,4.0001,4.0001,0,0,0,8.0002,12,12,4.0001,12,4.0001,0,0
38,NaN,NaN,4.0001,12,0,4.0001,0,0,8.0002,12,12,4.0001,0,8.0002,4.0001,0,8.0002,16,8.0002,4.0001,0,0
39,180,-0.6955094722265123,0,4.0001,8.0002,0,0,8.0002,4.0001,8.0002,4.0001,0,12,0,4.0001,16,4.0001,0,4.0001,0,8.0002,0
40,NaN,NaN,4.0001,8.0002,8.0002,4.0001,0,0,0,0,0,0,0,4.0001,0,12,0,0,4.0001,0,4.0001,0
41,0,-0.4013189010928366,0,16,8.0002,4.0001,4.0001,4.0001,0,4.0001,0,0,0,4.0001,0,0,4.0001,0,16,12,4.0001,0
42,NaN,NaN,4.0001,0,0,0,8.0002,0,8.0002,0,0,0,4.0001,4.0001,4.0001,0,4.0001,4.0001,8.0002,4.0001,8.0002,0
43,0,1.7729301728808387,48.001,44.001,32,36.001,24,24,8.0001,12,24,16,24,8.0001,12,8.0001,8.0001,12,8.0001,8.0001,12,8.0001
44,NaN,NaN,4.0001,4.0001,4.0001,0,20.001,8.0003,0,0,0,0,0,0,4.0001,0,0,4.0001,8.0003,4.0001,0,4.0001
45,180,0.5236164190543707,8.0001,16,0,0,4,0,4,0,4,0,0,0,0,0,0,4,12,0,0,0
46,NaN,NaN,0,4.0002,0,0,0,0,16.001,4.0002,16.001,4.0002,8.0003,4.0002,0,0,12,0,0,4.0002,0,4.0002
47,180,1.3044905277734875,0,8.0002,8.0002,0,0,0,0,4.0001,4.0001,0,16,4.0001,8.0002,8.0002,0,0,4.0001,0,8.0002,4.0001
48,NaN,NaN,12,20,8.0001,4,0,4,8.0001,0,4,0,4,0,0,0,4,4,0,0,12,12
49,180,-0.4013189010928366,0,0,0,0,4.0002,12,4.0002,0,8.0003,8.0003,8.0003,0,0,0,0,8.0003,8.0003,12,16.001,4.0002
50,NaN,NaN,0,4.0001,0,4.0001,0,0,0,0,8.0002,20.001,12,4.0001,12,0,0,0,0,0,0,0
51,0,1.4348242962684938,52.001,16,52.001,36.001,28.001,36.001,24.001,12,28.001,8.0002,20,4.0001,8.0002,8.0002,16,32.001,8.0002,8.0002,8.0002,32.001
52,NaN,NaN,8.0002,8.0002,12,4.0001,4.0001,4.0001,0,4.0001,4.0001,0,8.0002,0,8.0002,0,0,0,0,0,4.0001,16
53,180,1.7729301728808387,4.0001,0,4.0001,0,4.0001,0,0,4.0001,4.0001,4.0001,0,0,4.0001,0,12,4.0001,4.0001,0,0,0
54,NaN,NaN,0,0,12,4.0001,8.0002,8.0002,0,4.0001,0,8.0002,16,4.0001,0,0,4.0001,4.0001,0,4.0001,0,0
55,180,-0.6955094722265123,0,0,0,4.0001,8.0002,0,0,0,4.0001,12,12,4.0001,4.0001,4.0001,8.0002,8.0002,4.0001,0,16,4.0001
56,NaN,NaN,4,0,0,0,4,12,4,0,16,4,8.0001,0,0,4,4,12,4,12,0,0
57,180,1.3044905277734875,4.0002,0,0,4.0002,4.0002,0,4.0002,0,0,4.0002,0,0,4.0002,8.0003,12,0,4.0002,4.0002,8.0003,4.0002
58,NaN,NaN,0,0,0,4.0001,0,4.0001,4.0001,0,0,4.0001,12,12,4.0001,0,0,12,16,0,4.0001,0
59,180,0.8205298485235197,0,4.0001,8.0002,12,4.0001,0,0,0,0,0,4.0001,8.0002,0,0,0,0,0,0,8.0002,0
60,NaN,NaN,12,0,0,0,4.0001,20.001,0,12,0,0,0,0,12,8.0002,0,0,0,8.0002,8.0002,4.0001
61,180,1.4348242962684938,0,12,4.0001,4.0001,4.0001,4.0001,4.0001,0,0,4.0001,4.0001,0,4.0001,4.0001,0,8.0002,0,8.0002,16,4.0001
62,NaN,NaN,4,0,0,0,0,4,0,4,0,0,20,8.0001,4,0,0,4,20,12,4,0
63,0,1.7729301728808387,64.003,52.002,36.002,20.001,12.001,32.002,24.001,28.001,24.001,28.001,16.001,40.002,32.002,12.001,20.001,24.001,8.0004,20.001,16.001,16.001
64,NaN,NaN,0,0,4.0001,8.0002,0,0,4.0001,0,8.0002,8.0002,0,4.0001,4.0001,0,4.0001,0,0,4.0001,8.0002,8.0002
65,0,1.3044905277734875,56.001,36.001,20,28.001,44.001,12,20,32.001,28.001,8.0002,4.0001,8.0002,16,24,20,16,16,12,12,28.001
66,NaN,NaN,8.0002,4.0001,4.0001,0,4.0001,0,4.0001,0,0,0,0,12,4.0001,4.0001,0,4.0001,12,16,0,4.0001
67,0,1.1256764103823331,28,20,16,16,12,8,8,12,16,20,28,24,20,16,8,20,20,8,4,16
68,NaN,NaN,8.0004,0,0,0,12.001,4.0002,12.001,8.0004,4.0002,12.001,4.0002,0,0,4.0002,0,0,8.0004,0,0,4.0002
69,180,-0.08671609823958155,0,0,0,0,12,4.0001,8.0002,4.0001,8.0002,4.0001,4.0001,0,0,0,4.0001,4.0001,8.0002,4.0001,4.0001,4.0001
70,NaN,NaN,0,4.0001,8.0002,0,12,12,4.0001,12,0,0,0,0,8.0002,8.0002,4.0001,0,0,0,8.0002,0
71,180,1.8997110945711444,0,0,0,16,8.0002,12,8.0002,0,4.0001,4.0001,4.0001,4.0001,0,0,4.0001,4.0001,4.0001,8.0002,4.0001,12
72,NaN,NaN,4.0001,0,0,0,4.0001,0,0,4.0001,4.0001,0,4.0001,20.001,4.0001,12,4.0001,16,8.0002,0,12,12
73,0,0.8205298485235197,44.001,32.001,28.001,16,20.001,8.0002,16,44.001,36.001,24.001,36.001,24.001,16,16,24.001,32.001,24.001,24.001,28.001,16
74,NaN,NaN,12,4.0001,16,0,0,8.0002,4.0001,0,0,4.0001,0,0,4.0001,0,12,0,4.0001,4.0001,0,0
75,0,-0.08671609823958155,20.001,0,8.0002,20.001,8.0002,16,16,16,0,0,8.0002,4.0001,0,4.0001,8.0002,8.0002,8.0002,4.0001,4.0001,12
76,NaN,NaN,12,0,4,0,0,0,0,0,0,0,0,8.0001,4,0,4,12,4,8.0001,4,16
77,0,-0.4013189010928366,4.0002,4.0002,12,0,0,0,0,4.0002,16.001,8.0003,8.0003,0,0,0,4.0002,20.001,4.0002,0,0,0
78,NaN,NaN,16,12,0,8.0002,0,0,0,0,0,12,4.0001,0,0,4.0001,0,16,16,12,8.0002,8.0002
79,0,0.5236164190543707,16,32,32,28,16,28,24,24,48.001,12,16,16,12,24,40.001,12,8.0001,20,8.0001,16
80,NaN,NaN,12,0,8.0002,8.0002,4.0001,4.0001,4.0001,4.0001,4.0001,8.0002,8.0002,0,4.0001,4.0001,4.0001,12,0,0,0,4.0001
81,180,1.1256764103823331,0,0,0,0,0,0,4.0001,12,4.0001,4.0001,8.0003,0,12,8.0003,4.0001,8.0003,4.0001,0,4.0001,0
82,NaN,NaN,0,12,0,4.0001,4.0001,8.0002,4.0001,16,8.0002,0,8.0002,4.0001,0,0,0,4.0001,4.0001,0,0,0
83,0,1.8997110945711444,28.001,56.001,32.001,40.001,24.001,20,24.001,20,20,24.001,24.001,12,28.001,28.001,24.001,28.001,20,16,16,12
84,NaN,NaN,4.0001,12,12,8.0002,0,4.0001,0,8.0002,4.0001,4.0001,12,4.0001,4.0001,0,0,0,8.0002,0,4.0001,0
85,180,0.21431389742439963,0,0,4.0001,8.0002,8.0002,12,4.0001,0,4.0001,0,0,16,12,4.0001,8.0002,0,0,4.0001,0,4.0001
86,NaN,NaN,0,4.0001,8.0002,0,4.0001,0,4.0001,4.0001,4.0001,4.0001,0,4.0001,4.0001,4.0001,12,16,8.0002,4.0001,8.0002,4.0001
87,0,0.21431389742439963,4.0001,36.001,28.001,12,8.0002,4.0001,32.001,28.001,20.001,12,16,36.001,36.001,16,12,12,8.0002,8.0002,16,4.0001
88,NaN,NaN,0,4.0001,4.0001,4.0001,0,0,4.0001,0,20,0,4.0001,0,0,8.0002,12,4.0001,16,8.0002,8.0002,0
89,180,1.6254153521544081,0,0,8.0002,0,0,0,12,20.001,0,0,0,0,0,0,0,0,4.0001,8.0002,4.0001,0
90,NaN,NaN,4,4,0,4,0,0,0,0,8.0001,12,12,4,0,12,12,4,4,4,0,0
91,0,-0.6955094722265123,0,0,0,12,8.0003,0,0,0,0,12,8.0003,0,0,0,0,4.0001,0,8.0003,4.0001,4.0001
92,NaN,NaN,8.0002,8.0002,0,8.0002,0,4.0001,4.0001,4.0001,0,4.0001,0,0,12,4.0001,4.0001,4.0001,4.0001,0,0,0
93,0,1.6254153521544081,48.002,24.001,28.001,36.001,24.001,32.001,44.002,16.001,28.001,16.001,24.001,8.0003,12,24.001,28.001,8.0003,20.001,32.001,16.001,12
94,NaN,NaN,4.0001,4.0001,4.0001,4.0001,0,0,0,8.0001,0,0,0,4.0001,12,0,0,4.0001,0,0,0,0
95,180,0.5236164190543707,0,0,0,0,8.0003,16.001,16.001,0,20.001,0,0,4.0001,0,0,16.001,0,0,0,4.0001,0
96,NaN,NaN,0,0,4.0001,4.0001,0,0,0,0,4.0001,4.0001,4.0001,4.0001,0,0,0,16,8.0001,0,4.0001,0
97,0,1.7729301728808387,20.001,28.001,44.001,28.001,12,12,16,8.0002,12,24.001,12,20.001,20.001,20.001,16,16,12,8.0002,8.0002,12
98,NaN,NaN,8.0002,0,0,4.0001,4.0001,4.0001,4.0001,4.0001,8.0002,4.0001,8.0002,8.0002,8.0002,0,8.0002,0,4.0001,4.0001,0,0
99,0,1.3044905277734875,40.001,16,20,32.001,24,12,16,8.0002,20,20,24,16,16,8.0002,12,12,12,16,16,12
100,NaN,NaN,0,4.0001,0,0,4.0001,4.0001,0,4.0001,4.0001,0,8.0002,4.0001,0,0,0,0,0,8.0002,4.0001,4.0001
101,180,0.8205298485235197,3.9997,0,0,0,0,3.9997,0,7.9995,0,0,0,0,7.9995,3.9997,0,3.9997,3.9997,3.9997,7.9995,3.9997
102,NaN,NaN,0,4.0005,4.0005,0,4.0005,4.0005,12.001,8.0009,8.0009,0,4.0005,16.002,4.0005,4.0005,0,0,0,0,0,0
103,0,1.6254153521544081,44.001,24.001,40.001,32.001,20.001,16,24.001,8.0002,8.0002,20.001,12,36.001,4.0001,4.0001,16,12,8.0002,12,20.001,8.0002
104,NaN,NaN,0,4,0,0,0,8.0001,0,4,0,12,4,4,8.0001,4,0,0,0,0,0,0
105,0,-0.4013189010928366,4.0002,0,12,0,4.0002,0,0,4.0002,4.0002,4.0002,12,0,0,4.0002,16.001,4.0002,4.0002,0,8.0003,4.0002
106,NaN,NaN,8.0002,12,4.0001,12,0,0,0,0,0,0,0,0,4.0001,8.0002,4.0001,8.0002,8.0002,8.0002,0,0
107,180,-0.08671609823958155,3.9998,15.999,3.9998,0,3.9998,0,3.9998,7.9996,7.9996,0,0,0,3.9998,3.9998,0,0,0,0,3.9998,3.9998
108,NaN,NaN,0,4.0004,0,0,0,12.001,8.0009,4.0004,24.003,4.0004,0,4.0004,0,0,4.0004,4.0004,16.002,8.0009,4.0004,0
109,180,1.6254153521544081,0,0,4.0001,0,12,0,0,0,0,0,0,0,0,0,0,4.0001,0,4.0001,0,4.0001
110,NaN,NaN,8.0002,0,4.0001,4.0001,0,0,4.0001,4.0001,8.0002,12,0,16,4.0001,12,12,4.0001,0,8.0002,4.0001,0
111,0,1.4348242962684938,28.001,36.001,28.001,36.001,24,20,12,20,32.001,24,28.001,8.0002,24,8.0002,16,20,12,20,12,8.0002
112,NaN,NaN,12,0,0,0,4.0001,0,0,0,4.0001,0,0,0,0,0,0,4.0001,0,0,4.0001,0
113,180,-0.6955094722265123,4.0001,4.0001,8.0002,0,0,0,0,8.0002,0,0,4.0001,0,8.0002,0,0,4.0001,4.0001,16,16,0
114,NaN,NaN,4.0001,4.0001,0,8.0002,0,0,4.0001,0,0,0,4.0001,12,12,0,8.0002,0,8.0002,0,8.0002,0
115,0,1.1256764103823331,28.001,64.002,20.001,28.001,44.001,40.001,48.001,28.001,8.0002,32.001,8.0002,12,16,16,20.001,32.001,16,12,28.001,40.001
116,NaN,NaN,4.0001,0,0,0,0,0,8.0002,4.0001,8.0002,0,4.0001,4.0001,4.0001,8.0002,4.0001,4.0001,4.0001,0,4.0001,0
117,0,0.21431389742439963,8.0002,20,4.0001,28.001,28.001,8.0002,0,4.0001,4.0001,0,0,0,4.0001,0,0,8.0002,4.0001,4.0001,12,12
118,NaN,NaN,16,0,0,0,0,0,0,0,0,4.0001,0,0,0,8.0001,8.0001,4.0001,4.0001,12,8.0001,4.0001
119,0,0.8205298485235197,36.001,20.001,16,20.001,12,12,28.001,12,12,20.001,28.001,20.001,12,24.001,20.001,24.001,24.001,24.001,24.001,20.001
120,NaN,NaN,4.0001,4.0001,12,8.0002,0,8.0002,0,4.0001,8.0002,8.0002,4.0001,0,8.0002,0,16,0,0,0,8.0002,0
